,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations_per_window,n_estimators
0,TSF_Dilation,ALL_AVERAGE,0.5735196,36.1044232,14.9715852,138084.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",37.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5909663999999999,72.33993319999999,29.9785268,276168.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",37.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5476392,7.765452399999999,3.2316084000000007,29109.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6137859999999999,37.924481199999995,15.7194848,145548.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5649763999999999,76.121962,31.694068399999995,291096.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5345663999999999,8.0159916,3.3873535999999995,30602.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",41.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5494848,40.0211288,16.5622696,153012.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",41.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5691668,80.25409239999999,33.237546800000004,306024.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",41.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5254224,8.4802528,3.5077944000000003,32095.2,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",43.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5719464000000001,41.9779476,17.329382,160476.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",43.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5662988,83.9634944,34.753032399999995,320952.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",43.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5611936,8.8433016,3.660872,33588.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",45.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5652196,43.92333240000001,18.1967,167940.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",45.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5930184,87.66053120000001,36.4269776,335880.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",45.0,200
0,TSF_Dilation,ALL_AVERAGE,0.513172,9.306814000000001,3.8431036000000005,35080.8,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",47.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5562543999999999,45.8165128,19.0727664,175404.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",47.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5705216,91.43733040000001,37.934548,350808.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",47.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5270996,9.69599,4.041636,36573.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",49.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5890204,47.6894676,19.823389199999998,182868.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",49.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5611172,95.53054000000002,39.7451424,365736.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",49.0,200
0,TSF_Dilation,ALL_AVERAGE,0.6416364,0.2523456,0.093294,746.4,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",1.0,20
0,TSF_Dilation,ALL_AVERAGE,0.688484,1.2291292,0.45040319999999995,3732.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",1.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6646816,2.4634972,0.9089040000000002,7464.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",1.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5773628,0.6628056,0.26340480000000005,2239.2,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",3.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6173548,3.2695263999999997,1.2736044,11196.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",3.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6169348,6.4442724,2.5396776,22392.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",3.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5835196,1.0583647999999999,0.423478,3732.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",5.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6138707999999999,5.247405199999999,2.1060004000000005,18660.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",5.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5865056,10.424566800000001,4.154215199999999,37320.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",5.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5631732,1.4617016,0.5943248,5224.8,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",7.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5954723999999999,7.19063,2.9223136,26124.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",7.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5756228,14.3270432,5.802656000000001,52248.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",7.0,200
0,TSF_Dilation,ALL_AVERAGE,0.515374,1.8472191999999998,0.761846,6717.6,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",9.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5636332000000001,9.1829772,3.7286092,33588.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",9.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5733356000000001,18.4723668,7.4659444,67176.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",9.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5616204,2.2333887999999997,0.9266736,8210.4,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",11.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5685444,11.095222400000003,4.551669599999999,41052.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",11.0,100
0,TSF_Dilation,ALL_AVERAGE,0.582464,22.2926272,9.1333468,82104.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",11.0,200
