,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,7.69194,1.4543,12600,0.2,1.0,[1],21,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,12.49949,1.63837,12600,0.2,1.0,[1],21,200
10,TSF_Dilation,DistalPhalanxTW,0.67626,9.10023,1.44026,12600,0.2,1.0,[1],21,200
11,TSF_Dilation,ECG200,0.76,2.91754,1.2951,12600,0.2,1.0,[1],21,200
12,TSF_Dilation,ECGFiveDays,0.90708,3.169,6.59981,25200,0.2,1.0,[1],21,200
13,TSF_Dilation,ItalyPowerDemand,0.92323,2.23043,2.23445,0,0.2,1.0,[1],21,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.41558,8.54348,1.50584,12600,0.2,1.0,[1],21,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.75945,13.16695,1.78013,12600,0.2,1.0,[1],21,200
16,TSF_Dilation,MiddlePhalanxTW,0.51299,12.4956,1.5417,12600,0.2,1.0,[1],21,200
17,TSF_Dilation,OliveOil,0.43333,9.59844,5.41909,50400,0.2,1.0,[1],21,200
18,TSF_Dilation,Plane,0.98095,7.38515,3.35307,25200,0.2,1.0,[1],21,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,9.71046,1.50673,12600,0.2,1.0,[1],21,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.60137,12.49456,1.68962,12600,0.2,1.0,[1],21,200
21,TSF_Dilation,ProximalPhalanxTW,0.7561,11.15177,1.67849,12600,0.2,1.0,[1],21,200
22,TSF_Dilation,SyntheticControl,0.81333,6.64347,1.61392,12600,0.2,1.0,[1],21,200
23,TSF_Dilation,TwoLeadECG,0.50044,2.23917,3.41102,12600,0.2,1.0,[1],21,200
24,TSF_Dilation,Wine,0.5,6.78813,3.78592,37800,0.2,1.0,[1],21,200
0,TSF_Dilation,ArrowHead,0.48,7.05487,6.31589,45000,0.2,1.0,[1],25,200
1,TSF_Dilation,Beef,0.2,9.44742,5.90287,60000,0.2,1.0,[1],25,200
2,TSF_Dilation,BeetleFly,0.7,8.62252,6.38904,60000,0.2,1.0,[1],25,200
3,TSF_Dilation,BirdChicken,0.95,9.86273,5.71072,60000,0.2,1.0,[1],25,200
4,TSF_Dilation,Car,0.23333,14.32396,7.45969,60000,0.2,1.0,[1],25,200
5,TSF_Dilation,CBF,0.49333,3.62487,6.62432,30000,0.2,1.0,[1],25,200
6,TSF_Dilation,Coffee,0.89286,6.2002,4.16705,45000,0.2,1.0,[1],25,200
7,TSF_Dilation,DiatomSizeReduction,0.9183,5.80631,8.78375,45000,0.2,1.0,[1],25,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.69784,8.37627,1.60371,15000,0.2,1.0,[1],25,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,14.56946,2.01323,15000,0.2,1.0,[1],25,200
10,TSF_Dilation,DistalPhalanxTW,0.68345,10.34223,1.71756,15000,0.2,1.0,[1],25,200
11,TSF_Dilation,ECG200,0.78,2.93942,1.94661,15000,0.2,1.0,[1],25,200
12,TSF_Dilation,ECGFiveDays,0.90244,4.02367,7.6231,30000,0.2,1.0,[1],25,200
13,TSF_Dilation,ItalyPowerDemand,0.94558,2.90777,3.94217,0,0.2,1.0,[1],25,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.44805,9.15302,1.72816,15000,0.2,1.0,[1],25,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.58076,16.73171,2.05367,15000,0.2,1.0,[1],25,200
16,TSF_Dilation,MiddlePhalanxTW,0.51299,12.83893,1.67031,15000,0.2,1.0,[1],25,200
17,TSF_Dilation,OliveOil,0.43333,11.28511,6.89515,60000,0.2,1.0,[1],25,200
18,TSF_Dilation,Plane,0.99048,9.23548,3.82134,30000,0.2,1.0,[1],25,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.82927,9.26444,1.80147,15000,0.2,1.0,[1],25,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.62543,15.90529,1.9738,15000,0.2,1.0,[1],25,200
21,TSF_Dilation,ProximalPhalanxTW,0.73659,11.56339,1.82428,15000,0.2,1.0,[1],25,200
22,TSF_Dilation,SyntheticControl,0.81,9.5887,2.40091,15000,0.2,1.0,[1],25,200
23,TSF_Dilation,TwoLeadECG,0.50044,2.77146,4.23443,15000,0.2,1.0,[1],25,200
24,TSF_Dilation,Wine,0.44444,7.08602,4.46015,45000,0.2,1.0,[1],25,200
0,TSF_Dilation,ArrowHead,0.48,7.43891,7.24563,52200,0.2,1.0,[1],29,200
1,TSF_Dilation,Beef,0.2,13.85626,7.32253,69600,0.2,1.0,[1],29,200
2,TSF_Dilation,BeetleFly,0.6,9.525,6.71461,69600,0.2,1.0,[1],29,200
3,TSF_Dilation,BirdChicken,0.8,10.13076,7.17504,69600,0.2,1.0,[1],29,200
4,TSF_Dilation,Car,0.23333,15.49375,8.85455,69600,0.2,1.0,[1],29,200
5,TSF_Dilation,CBF,0.60333,4.5165,8.53861,34800,0.2,1.0,[1],29,200
6,TSF_Dilation,Coffee,0.82143,6.96208,5.84044,52200,0.2,1.0,[1],29,200
7,TSF_Dilation,DiatomSizeReduction,0.91503,6.2576,9.43511,52200,0.2,1.0,[1],29,200
