,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,4.59029,0.88824,9000,0.05322,1.0435599999999996,3.3185100000000016,1.0,1.0,"[3, 4, 5, 6]",2,300,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.84192,7.25592,1.02042,9000,0.05119,1.1953500000000008,5.835189999999998,1.0,1.0,"[3, 4, 5, 6]",2,300,10
16,TSF_Dilation,MiddlePhalanxTW,0.56494,6.52252,0.925,9000,0.05202,1.0709599999999995,5.212579999999994,1.0,1.0,"[3, 4, 5, 6]",2,300,10
17,TSF_Dilation,OliveOil,0.93333,1.32761,0.80246,9000,0.05247,0.7678299999999995,0.3419100000000001,1.0,1.0,"[3, 4, 5, 6]",2,300,10
18,TSF_Dilation,Plane,1.0,1.99581,0.83035,9000,0.05067,0.7941400000000006,0.86823,1.0,1.0,"[3, 4, 5, 6]",2,300,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,4.43115,0.93823,9000,0.09656,1.0373400000000002,3.132980000000001,1.0,1.0,"[3, 4, 5, 6]",2,300,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.87629,6.87879,1.02843,9000,0.05395,1.2585600000000017,5.372539999999999,1.0,1.0,"[3, 4, 5, 6]",2,300,10
21,TSF_Dilation,ProximalPhalanxTW,0.82439,5.17971,0.96101,9000,0.05361,1.075709999999999,3.8716300000000006,1.0,1.0,"[3, 4, 5, 6]",2,300,10
22,TSF_Dilation,SyntheticControl,0.98333,4.21166,1.02069,9000,0.04999,0.9794300000000004,3.00703,1.0,1.0,"[3, 4, 5, 6]",2,300,10
23,TSF_Dilation,TwoLeadECG,0.88235,1.19121,1.60367,9000,0.0516,0.7070800000000004,0.27546,1.0,1.0,"[3, 4, 5, 6]",2,300,10
24,TSF_Dilation,Wine,0.75926,1.4817,0.82883,9000,0.07565,0.7869500000000004,0.45236,1.0,1.0,"[3, 4, 5, 6]",2,300,10
0,TSF_Dilation,ArrowHead,0.78857,1.92747,1.29053,12000,0.06975,1.0266600000000004,0.48520999999999975,1.0,1.0,"[3, 4, 5, 6]",2,400,10
1,TSF_Dilation,Beef,0.8,1.78108,1.02636,12000,0.06847,0.9785099999999991,0.5216699999999997,1.0,1.0,"[3, 4, 5, 6]",2,400,10
2,TSF_Dilation,BeetleFly,0.95,1.61356,1.02407,12000,0.07202,0.9638300000000015,0.3646599999999996,1.0,1.0,"[3, 4, 5, 6]",2,400,10
3,TSF_Dilation,BirdChicken,0.8,1.60027,1.01029,12000,0.07137,0.9363500000000023,0.3719700000000001,1.0,1.0,"[3, 4, 5, 6]",2,400,10
4,TSF_Dilation,Car,0.76667,2.28256,1.07744,12000,0.07192,1.1217600000000005,0.8529199999999999,1.0,1.0,"[3, 4, 5, 6]",2,400,10
5,TSF_Dilation,CBF,0.95222,1.64263,1.88113,12000,0.06929,0.9371800000000015,0.4215999999999999,1.0,1.0,"[3, 4, 5, 6]",2,400,10
6,TSF_Dilation,Coffee,1.0,1.60594,1.01558,12000,0.07035,0.9584700000000005,0.36538999999999977,1.0,1.0,"[3, 4, 5, 6]",2,400,10
7,TSF_Dilation,DiatomSizeReduction,0.94118,1.61953,1.47938,12000,0.07432,0.9652200000000011,0.3661100000000008,1.0,1.0,"[3, 4, 5, 6]",2,400,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,5.65825,1.1794,12000,0.06914,1.3753799999999996,3.9943500000000003,1.0,1.0,"[3, 4, 5, 6]",2,400,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77536,9.33159,1.37686,12000,0.07184,1.625520000000002,7.410459999999998,1.0,1.0,"[3, 4, 5, 6]",2,400,10
10,TSF_Dilation,DistalPhalanxTW,0.70504,6.69318,1.18291,12000,0.07102,1.3887900000000017,4.99966,1.0,1.0,"[3, 4, 5, 6]",2,400,10
11,TSF_Dilation,ECG200,0.85,2.32124,1.09912,12000,0.08094,1.0784300000000004,0.8372300000000001,1.0,1.0,"[3, 4, 5, 6]",2,400,10
12,TSF_Dilation,ECGFiveDays,0.96748,1.58574,1.9322,12000,0.06702,0.9392200000000008,0.36668999999999996,1.0,1.0,"[3, 4, 5, 6]",2,400,10
13,TSF_Dilation,ItalyPowerDemand,0.97279,1.8579,1.97749,12000,0.07058,1.0473900000000016,0.5180100000000002,1.0,1.0,"[3, 4, 5, 6]",2,400,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.61688,6.0812,1.1777,12000,0.06668,1.3862700000000017,4.3948899999999975,1.0,1.0,"[3, 4, 5, 6]",2,400,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.8488,9.7681,1.36274,12000,0.06914,1.5872300000000013,7.888100000000003,1.0,1.0,"[3, 4, 5, 6]",2,400,10
16,TSF_Dilation,MiddlePhalanxTW,0.57143,8.64034,1.22819,12000,0.07039,1.4156399999999985,6.932299999999995,1.0,1.0,"[3, 4, 5, 6]",2,400,10
17,TSF_Dilation,OliveOil,0.93333,1.79766,1.05518,12000,0.07146,1.0387499999999992,0.46380999999999967,1.0,1.0,"[3, 4, 5, 6]",2,400,10
18,TSF_Dilation,Plane,1.0,2.64111,1.15587,12000,0.06733,1.1101900000000002,1.1537700000000009,1.0,1.0,"[3, 4, 5, 6]",2,400,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,5.79978,1.23657,12000,0.06601,1.3536700000000008,4.167229999999998,1.0,1.0,"[3, 4, 5, 6]",2,400,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.8866,9.0678,1.34631,12000,0.06812,1.6027599999999993,7.145359999999999,1.0,1.0,"[3, 4, 5, 6]",2,400,10
21,TSF_Dilation,ProximalPhalanxTW,0.82439,6.91716,1.25528,12000,0.0734,1.4066200000000018,5.211919999999998,1.0,1.0,"[3, 4, 5, 6]",2,400,10
22,TSF_Dilation,SyntheticControl,0.98333,5.63198,1.35225,12000,0.06845,1.2926600000000004,4.033359999999999,1.0,1.0,"[3, 4, 5, 6]",2,400,10
