,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,num_of_random_dilations,window_sizes,norm_options,word_length,dilation_algo
23,BOSS_Dilation,TwoLeadECG,0.98683,13.79542,40.45388,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
24,BOSS_Dilation,Wine,0.77778,83.78481,25.60367,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
25,BOSS_Dilation,DiatomSizeReduction,0.9183,30.97861,121.39901,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
26,BOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,558.5701,88.00791,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
27,BOSS_Dilation,DistalPhalanxOutlineCorrect,0.75725,1099.24535,176.17175,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
28,BOSS_Dilation,DistalPhalanxTW,0.66906,561.68845,89.73221,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
29,BOSS_Dilation,ECG200,0.82,87.0157,14.62584,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
30,BOSS_Dilation,ECGFiveDays,0.93264,21.21646,7.82597,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
31,BOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.55844,544.40204,90.90047,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
32,BOSS_Dilation,MiddlePhalanxOutlineCorrect,0.78351,1052.68182,182.33523,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
33,BOSS_Dilation,MiddlePhalanxTW,0.50649,559.73489,97.73649,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
34,BOSS_Dilation,ALL_AVERAGE,0.8096452941176471,364.027329117647,76.4459261764706,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
0,BOSS_Dilation,ArrowHead,0.77143,0.04791,1.09925,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
1,BOSS_Dilation,ALL_AVERAGE,0.77143,0.04791,1.09925,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
0,BOSS_Dilation,ArrowHead,0.76,0.04826,1.1226,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
1,BOSS_Dilation,ALL_AVERAGE,0.76,0.04826,1.1226,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
0,BOSS_Dilation,ArrowHead,0.86286,0.04764,1.10004,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
1,BOSS_Dilation,ALL_AVERAGE,0.86286,0.04764,1.10004,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL,ee,eeee,jkjkwer
