,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
11,CBOSS_Dilation,ECG200,0.85,0.47777,4.52945,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
12,CBOSS_Dilation,ECGFiveDays,0.85017,0.25666,37.91387,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
13,CBOSS_Dilation,ItalyPowerDemand,0.92614,0.20717,26.24565,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61039,1.29212,7.21907,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.67698,1.98617,14.07151,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
16,CBOSS_Dilation,MiddlePhalanxTW,0.57792,1.25559,7.19045,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
17,CBOSS_Dilation,OliveOil,0.86667,0.43534,1.59267,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
18,CBOSS_Dilation,Plane,0.98095,0.49034,4.71509,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.83902,1.28342,9.68489,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.78694,1.88212,13.67886,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
21,CBOSS_Dilation,ProximalPhalanxTW,0.78537,1.28617,9.55788,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
22,CBOSS_Dilation,SyntheticControl,0.98,0.89757,13.33053,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
23,CBOSS_Dilation,TwoLeadECG,0.88499,1.22031,48.76708,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
24,CBOSS_Dilation,Wine,0.62963,0.3779,2.62368,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
25,CBOSS_Dilation,ALL_AVERAGE,0.8065768,0.8298156,11.890385199999999,81.92,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
0,CBOSS_Dilation,ArrowHead,0.76571,1.46959,8.29608,104.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
1,CBOSS_Dilation,Beef,0.7,1.52784,1.73838,52.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.8,1.45001,1.29741,22.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.85,1.42832,1.34818,8.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
4,CBOSS_Dilation,Car,0.8,1.96703,3.3366,94.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
5,CBOSS_Dilation,CBF,0.99,1.40013,38.64887,24.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
