,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
3,TSF_Dilation,BirdChicken,0.8,22.42534,16.36938,900,1.69604,19.720810000000007,0.8925700000000001,1.0,1.0,[0],1.0,200,300
4,TSF_Dilation,Car,0.48333,36.84108,20.49121,900,1.66018,28.612779999999997,6.4542199999999985,1.0,1.0,[0],1.0,200,300
5,TSF_Dilation,CBF,0.97,20.07577,38.13538,900,1.60257,16.85399,1.5055300000000005,1.0,1.0,[0],1.0,200,300
6,TSF_Dilation,Coffee,0.92857,21.40063,15.87364,900,1.62278,18.80832000000001,0.8576999999999998,1.0,1.0,[0],1.0,200,300
7,TSF_Dilation,DiatomSizeReduction,0.9085,20.6559,32.11319,900,1.60431,18.01156,0.9300599999999997,1.0,1.0,[0],1.0,200,300
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,79.91586,17.75962,900,1.63398,29.935410000000005,48.22096000000003,1.0,1.0,[0],1.0,200,300
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.46377,133.6748,20.52794,900,1.62997,36.59571000000004,95.31899999999999,1.0,1.0,[0],1.0,200,300
10,TSF_Dilation,DistalPhalanxTW,0.69065,94.69356,17.86747,900,1.62034,30.164589999999997,62.780390000000004,1.0,1.0,[0],1.0,200,300
11,TSF_Dilation,ECG200,0.89,27.49392,16.76327,900,1.64899,19.45759,6.2689700000000075,1.0,1.0,[0],1.0,200,300
12,TSF_Dilation,ECGFiveDays,0.96516,18.77455,38.38971,900,1.56276,16.34654,0.74961,1.0,1.0,[0],1.0,200,300
13,TSF_Dilation,ItalyPowerDemand,0.58115,19.83291,28.19824,900,1.59397,15.481709999999996,2.6506900000000004,1.0,1.0,[0],1.0,200,300
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.42857,88.06001,17.95837,900,1.55068,29.53204000000002,56.85239000000002,1.0,1.0,[0],1.0,200,300
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.58419,143.28217,20.88085,900,1.5181,36.74615999999999,104.90138999999999,1.0,1.0,[0],1.0,200,300
16,TSF_Dilation,MiddlePhalanxTW,0.48052,127.75302,18.10304,900,1.59704,30.372499999999988,95.65963000000002,1.0,1.0,[0],1.0,200,300
17,TSF_Dilation,OliveOil,0.63333,25.90771,17.43081,900,1.60712,22.330850000000016,1.8592999999999993,1.0,1.0,[0],1.0,200,300
18,TSF_Dilation,Plane,0.92381,34.74867,17.89105,900,1.57822,22.042160000000003,11.014399999999998,1.0,1.0,[0],1.0,200,300
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,80.73218,19.26872,900,1.51195,29.808990000000016,49.28927000000001,1.0,1.0,[0],1.0,200,300
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.60137,129.27065,20.62439,900,1.57628,36.320800000000006,91.25011999999997,1.0,1.0,[0],1.0,200,300
21,TSF_Dilation,ProximalPhalanxTW,0.80488,97.0509,20.0789,900,1.63981,30.589049999999993,64.69746999999995,1.0,1.0,[0],1.0,200,300
22,TSF_Dilation,SyntheticControl,0.97667,63.63883,20.54622,900,1.55511,24.27105000000001,37.69556999999998,1.0,1.0,[0],1.0,200,300
23,TSF_Dilation,TwoLeadECG,0.84636,18.6402,38.7081,900,1.56625,16.137059999999995,0.8267000000000008,1.0,1.0,[0],1.0,200,300
24,TSF_Dilation,Wine,0.55556,26.13053,16.93415,900,1.55784,20.86947,3.59036,1.0,1.0,[0],1.0,200,300
0,TSF_Dilation,ArrowHead,0.52,75.79306,76.83326,3000,5.12524,62.93513999999999,7.614789999999998,1.0,1.0,[0],1.0,200,1000
1,TSF_Dilation,Beef,0.56667,84.2687,55.68711,3000,5.34462,69.93789,8.851820000000004,1.0,1.0,[0],1.0,200,1000
2,TSF_Dilation,BeetleFly,0.7,73.5749,54.03324,3000,5.56026,65.55403000000001,2.336000000000001,1.0,1.0,[0],1.0,200,1000
3,TSF_Dilation,BirdChicken,0.8,74.99246,55.25251,3000,5.67299,66.60887000000001,2.5943199999999997,1.0,1.0,[0],1.0,200,1000
4,TSF_Dilation,Car,0.33333,120.5044,67.65726,3000,5.49377,95.12671999999995,19.756499999999992,1.0,1.0,[0],1.0,200,1000
5,TSF_Dilation,CBF,0.95333,66.56079,128.82907,3000,5.36552,56.49111,4.586469999999998,1.0,1.0,[0],1.0,200,1000
6,TSF_Dilation,Coffee,1.0,69.83699,52.15993,3000,5.36552,61.82262000000002,2.5227199999999987,1.0,1.0,[0],1.0,200,1000
7,TSF_Dilation,DiatomSizeReduction,0.94444,66.66178,108.54631,3000,5.50344,58.25380000000001,2.7813800000000004,1.0,1.0,[0],1.0,200,1000
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.60432,260.80767,60.0615,3000,5.4062,101.37906999999996,153.87724,1.0,1.0,[0],1.0,200,1000
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.42754,441.66912,71.8778,3000,5.41408,121.71758000000003,314.39241,1.0,1.0,[0],1.0,200,1000
10,TSF_Dilation,DistalPhalanxTW,0.66187,308.2191,58.28296,3000,5.31208,99.15694000000005,203.60273000000007,1.0,1.0,[0],1.0,200,1000
11,TSF_Dilation,ECG200,0.86,91.30421,56.50406,3000,5.3401,65.81849,20.013569999999987,1.0,1.0,[0],1.0,200,1000
12,TSF_Dilation,ECGFiveDays,0.964,64.14985,130.56689,3000,5.47477,56.48051999999999,2.068410000000001,1.0,1.0,[0],1.0,200,1000
13,TSF_Dilation,ItalyPowerDemand,0.58795,66.2332,95.25784,3000,5.20564,52.4123,8.489099999999993,1.0,1.0,[0],1.0,200,1000
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.44156,285.66779,59.4071,3000,5.20723,97.60857000000001,182.71230000000003,1.0,1.0,[0],1.0,200,1000
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.62199,478.25593,71.14086,3000,5.27215,122.14994000000003,350.6854,1.0,1.0,[0],1.0,200,1000
16,TSF_Dilation,MiddlePhalanxTW,0.37013,422.86995,62.57867,3000,5.26411,101.81033999999998,315.65321,1.0,1.0,[0],1.0,200,1000
17,TSF_Dilation,OliveOil,0.66667,87.15214,59.43112,3000,5.38013,75.83978000000003,5.8124600000000015,1.0,1.0,[0],1.0,200,1000
