,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
0,STC_Dilation,ArrowHead,0.67429,22.68957,4.17149,10000,10000,,20000
1,STC_Dilation,Beef,0.76667,36.37116,1.5803,10000,10000,,20000
2,STC_Dilation,BeetleFly,0.7,39.85595,1.13028,10000,10000,,20000
3,STC_Dilation,BirdChicken,0.9,37.3984,1.02098,10000,10000,,20000
4,STC_Dilation,Car,0.88333,81.73223,4.34523,10000,10000,,20000
5,STC_Dilation,CBF,0.95222,12.66834,8.75757,10000,10000,,20000
6,STC_Dilation,Coffee,0.96429,15.52182,0.84466,10000,10000,,20000
7,STC_Dilation,DiatomSizeReduction,0.93464,15.77276,4.64506,10000,10000,,20000
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,163.79779,15.55866,10000,10000,,20000
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.7971,376.77646,41.04701,10000,10000,,20000
10,STC_Dilation,DistalPhalanxTW,0.68345,169.07831,15.53059,10000,10000,,20000
11,STC_Dilation,ECG200,0.87,24.03298,3.9535,10000,10000,,20000
12,STC_Dilation,ECGFiveDays,0.99535,10.20273,8.18121,10000,10000,,20000
13,STC_Dilation,ItalyPowerDemand,0.96501,10.87528,10.28114,10000,10000,,20000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,169.4151,17.11259,10000,10000,,20000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.85567,375.17564,39.99827,10000,10000,,20000
16,STC_Dilation,MiddlePhalanxTW,0.58442,192.66737,17.31825,10000,10000,,20000
17,STC_Dilation,OliveOil,0.9,25.56957,1.40064,10000,10000,,20000
18,STC_Dilation,Plane,1.0,34.85126,4.93936,10000,10000,,20000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,163.8931,21.25574,10000,10000,,20000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.87629,386.6186,40.45678,10000,10000,,20000
21,STC_Dilation,ProximalPhalanxTW,0.80488,174.98262,21.76156,10000,10000,,20000
22,STC_Dilation,SyntheticControl,0.99333,94.57922,19.44937,10000,10000,,20000
23,STC_Dilation,TwoLeadECG,0.98946,8.41815,7.30497,10000,10000,,20000
24,STC_Dilation,Wine,0.85185,24.08799,3.02776,10000,10000,,20000
0,STC_Dilation,ArrowHead,0.78857,22.59177,4.32219,10000,10000,,30000
1,STC_Dilation,Beef,0.8,35.97515,1.5739,10000,10000,,30000
2,STC_Dilation,BeetleFly,0.85,39.14913,0.9106,10000,10000,,30000
3,STC_Dilation,BirdChicken,0.9,37.10791,1.15138,10000,10000,,30000
4,STC_Dilation,Car,0.85,79.49298,4.21453,10000,10000,,30000
