,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_win_size,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.7029,106.88989,7.9704,3440,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.64029,18.46611,5.13116,38400,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.82,15.97041,3.19091,1960,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.90592,7.61406,25.29112,1520,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.69193,5.85958,24.46917,320,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.55844,69.89104,5.35229,5600,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.63918,54.29241,8.70284,3160,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51948,48.09569,5.39901,40840,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.9,10.25158,1.48495,1320,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,24.61525,3.80601,47120,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
