,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
18,CBOSS,Plane,1.0,5.52786,3.82431,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
19,CBOSS,ProximalPhalanxOutlineAgeGroup,0.85366,7.05553,7.52501,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
20,CBOSS,ProximalPhalanxOutlineCorrect,0.85223,10.90092,10.962,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
21,CBOSS,ProximalPhalanxTW,0.79024,7.04963,7.43456,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
22,CBOSS,SyntheticControl,0.95667,4.51775,9.49763,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
23,CBOSS,TwoLeadECG,0.99122,1.45897,33.09591,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
24,CBOSS,Wine,0.72222,6.56314,2.32374,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
25,CBOSS,ALL_AVERAGE,0.8455176,6.4202248,9.096521599999999,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
0,CBOSS,ArrowHead,0.84,5.86753,6.287,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
1,CBOSS,Beef,0.7,5.00247,1.45048,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
2,CBOSS,BeetleFly,0.9,6.15822,1.21934,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
3,CBOSS,BirdChicken,0.95,5.99209,1.1465,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
4,CBOSS,Car,0.83333,15.4205,2.49834,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
5,CBOSS,CBF,0.99889,2.46839,26.6935,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
6,CBOSS,Coffee,1.0,2.94478,1.35351,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
7,CBOSS,DiatomSizeReduction,0.86601,2.68699,10.18994,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
8,CBOSS,DistalPhalanxOutlineAgeGroup,0.7482,7.31239,4.90407,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
9,CBOSS,DistalPhalanxOutlineCorrect,0.72826,12.16268,9.62402,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
10,CBOSS,DistalPhalanxTW,0.69065,7.25424,5.07002,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
11,CBOSS,ECG200,0.84,3.1376,3.39765,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
12,CBOSS,ECGFiveDays,1.0,2.34656,26.01618,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
13,CBOSS,ItalyPowerDemand,0.92031,0.9739,27.46851,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
