,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
11,TSF_Dilation,ECG200,0.82,2.34044,1.5738,10800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
12,TSF_Dilation,ECGFiveDays,0.92451,1.82388,2.9858,13200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
13,TSF_Dilation,ItalyPowerDemand,0.95238,1.13796,1.31318,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.57143,6.55091,1.1474,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.5945,9.52389,1.38483,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
16,TSF_Dilation,MiddlePhalanxTW,0.48701,9.04584,1.18571,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
17,TSF_Dilation,OliveOil,0.63333,6.15862,2.55242,27600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
18,TSF_Dilation,Plane,0.95238,3.45783,1.62069,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,5.66776,1.18337,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.61856,9.21164,1.40061,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
21,TSF_Dilation,ProximalPhalanxTW,0.80488,6.99847,1.22878,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
22,TSF_Dilation,SyntheticControl,0.87667,4.45289,1.12913,8400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
23,TSF_Dilation,TwoLeadECG,0.50044,1.56411,2.61215,10800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
24,TSF_Dilation,Wine,0.5,3.55832,2.0213,18000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
0,TSF_Dilation,ArrowHead,0.58286,4.10871,4.20907,27000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
1,TSF_Dilation,Beef,0.2,8.13875,3.94899,37800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
2,TSF_Dilation,BeetleFly,0.55,6.93983,3.40756,39600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
3,TSF_Dilation,BirdChicken,0.65,6.4037,3.66173,39600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
4,TSF_Dilation,Car,0.23333,10.70921,4.45539,43200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
5,TSF_Dilation,CBF,0.64556,4.01315,4.70315,19800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
6,TSF_Dilation,Coffee,0.92857,5.63861,3.45022,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
7,TSF_Dilation,DiatomSizeReduction,0.85621,4.81589,5.77213,32400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.74101,7.58789,1.56558,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,13.31689,1.95645,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
10,TSF_Dilation,DistalPhalanxTW,0.69065,8.8992,1.62903,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
11,TSF_Dilation,ECG200,0.81,3.60516,1.68471,16200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
12,TSF_Dilation,ECGFiveDays,0.96748,2.61238,5.16144,19800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
13,TSF_Dilation,ItalyPowerDemand,0.95724,1.24272,1.41135,7200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.3961,8.33403,1.74417,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.42612,15.38935,1.97559,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
16,TSF_Dilation,MiddlePhalanxTW,0.49351,14.27907,1.73881,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
17,TSF_Dilation,OliveOil,0.73333,7.77193,4.15592,41400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
18,TSF_Dilation,Plane,0.99048,4.88557,2.30229,21600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,8.13854,1.86831,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.62543,12.48153,1.88676,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
21,TSF_Dilation,ProximalPhalanxTW,0.80488,9.26516,1.77003,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
22,TSF_Dilation,SyntheticControl,0.89667,6.45738,1.56117,12600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
23,TSF_Dilation,TwoLeadECG,0.51975,1.99427,3.64879,16200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
24,TSF_Dilation,Wine,0.5,4.62109,2.65026,27000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",3,200
0,TSF_Dilation,ArrowHead,0.61714,5.9666,5.14146,36000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
1,TSF_Dilation,Beef,0.2,10.04484,4.67218,50400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
2,TSF_Dilation,BeetleFly,0.55,7.94413,4.81579,52800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
3,TSF_Dilation,BirdChicken,0.7,7.55863,4.70071,52800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
4,TSF_Dilation,Car,0.23333,14.98205,6.16792,57600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
5,TSF_Dilation,CBF,0.63889,3.4739,6.25403,26400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
6,TSF_Dilation,Coffee,0.92857,5.40374,3.6395,38400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
7,TSF_Dilation,DiatomSizeReduction,0.87582,5.7195,7.27558,43200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.71942,10.01488,2.12802,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,18.88263,2.66942,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
10,TSF_Dilation,DistalPhalanxTW,0.68345,11.85299,2.15286,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
11,TSF_Dilation,ECG200,0.83,4.2297,2.30943,21600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
12,TSF_Dilation,ECGFiveDays,0.95703,3.33628,6.17006,26400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
13,TSF_Dilation,ItalyPowerDemand,0.94655,1.53563,1.75852,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.49351,11.18806,2.1552,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.42955,19.48654,2.80429,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
16,TSF_Dilation,MiddlePhalanxTW,0.48701,15.98324,2.19726,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
17,TSF_Dilation,OliveOil,0.4,10.40918,5.41875,55200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
18,TSF_Dilation,Plane,0.99048,7.34166,3.18498,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,10.31038,2.27011,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.5567,17.52118,2.60214,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
21,TSF_Dilation,ProximalPhalanxTW,0.77561,12.93413,2.48973,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
22,TSF_Dilation,SyntheticControl,0.89,7.81404,2.17487,16800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
23,TSF_Dilation,TwoLeadECG,0.50219,3.18306,5.34821,21600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
24,TSF_Dilation,Wine,0.48148,7.11596,3.81119,36000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",4,200
0,TSF_Dilation,ArrowHead,0.48,9.64927,6.38267,45000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
1,TSF_Dilation,Beef,0.2,12.97569,6.06366,63000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
2,TSF_Dilation,BeetleFly,0.5,11.94717,6.06855,66000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
3,TSF_Dilation,BirdChicken,0.75,10.77611,6.05691,66000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
4,TSF_Dilation,Car,0.23333,20.61685,7.96522,72000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
5,TSF_Dilation,CBF,0.60889,4.50402,7.5876,33000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
6,TSF_Dilation,Coffee,0.92857,7.42893,4.18351,48000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
7,TSF_Dilation,DiatomSizeReduction,0.91503,7.09999,9.11927,54000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,12.23424,2.55045,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,21.92294,3.16094,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
10,TSF_Dilation,DistalPhalanxTW,0.69784,14.68905,2.58187,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
11,TSF_Dilation,ECG200,0.82,5.04646,2.79504,27000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
12,TSF_Dilation,ECGFiveDays,0.96864,4.06957,7.59756,33000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
13,TSF_Dilation,ItalyPowerDemand,0.94947,1.8199,2.10074,12000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.23377,17.54001,2.72918,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.43986,25.73386,3.59695,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
16,TSF_Dilation,MiddlePhalanxTW,0.46753,20.50029,2.72864,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
17,TSF_Dilation,OliveOil,0.4,14.53496,6.39588,69000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
18,TSF_Dilation,Plane,1.0,9.05504,3.90161,36000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.83415,12.83054,2.73807,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.3299,21.15436,3.26369,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
21,TSF_Dilation,ProximalPhalanxTW,0.83902,15.11065,2.90206,24000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
22,TSF_Dilation,SyntheticControl,0.88667,9.56948,2.72215,21000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
23,TSF_Dilation,TwoLeadECG,0.50044,4.72825,7.96666,27000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
24,TSF_Dilation,Wine,0.5,7.83644,4.89419,45000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",5,200
0,TSF_Dilation,ArrowHead,0.48571,11.00026,8.006,54000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
1,TSF_Dilation,Beef,0.2,12.08123,6.89071,75600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
