,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_window,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
24,CBOSS_Dilation,Wine,0.83333,3.53313,1.68475,2,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[4, 6]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.81143,2.34539,5.59348,46,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
1,CBOSS_Dilation,Beef,0.73333,3.58004,1.1532,28,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.75,3.3406,0.84888,15,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.8,3.31914,0.86779,16,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
4,CBOSS_Dilation,Car,0.8,5.79109,2.15683,13,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
5,CBOSS_Dilation,CBF,0.99667,1.65603,26.58106,23,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,2.28605,1.05693,2,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85948,2.43904,9.33643,17,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,2.3196,4.30944,19,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.73913,2.71894,8.22398,31,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.66187,2.24877,4.35615,18,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
11,CBOSS_Dilation,ECG200,0.83,1.72381,3.08891,8,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.97096,1.74816,24.43243,6,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.93975,1.29356,8.63462,7,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.62338,2.25865,4.73619,30,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.57732,2.58048,6.90811,0,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.58442,2.29171,4.64607,7,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
17,CBOSS_Dilation,OliveOil,0.8,4.10689,1.11088,0,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
18,CBOSS_Dilation,Plane,0.99048,2.07047,3.41108,39,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.85854,2.21311,6.2531,21,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.74914,2.72387,8.52245,11,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.77073,2.23443,6.2382,16,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.98667,1.78359,6.35776,32,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.92625,1.44871,17.52615,1,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
24,CBOSS_Dilation,Wine,0.5,2.18351,1.37577,1,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],2,chi2,256
0,CBOSS_Dilation,ArrowHead,0.83429,2.49689,5.67091,33,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
1,CBOSS_Dilation,Beef,0.73333,3.76192,1.18985,39,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
